"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Schleswig-Holstein";"Ahrenshöft";"9.06667";"54.55";"NF";25853
"DE";"Mecklenburg-Vorpommern";"Ahrenshoop";01.12.33;"54.3833";"NVP";18347
"DE";"Schleswig-Holstein";"Ahrenviöl";09.02.07;"54.5333";"NF";25885
"DE";"Schleswig-Holstein";"Ahrenviölfeld";"9.28333";"54.5333";"NF";25885
"DE";"Bayern";"Aichach";01.11.33;"48.4667";"AIC";86551
"DE";"Bayern";"Aicha vorm Wald";13.03.07;"48.6833";"PA";94529
"DE";"Baden-Württemberg";"Aichelberg";"9.56667";"48.6333";"GP";73101
"DE";"Bayern";"Aichen";01.10.55;"48.2333";"GZ";86479
"DE";"Baden-Württemberg";"Aichhalden";"8.41667";"48.2667";"RW";78733
"DE";"Baden-Württemberg";"Aichstetten";01.10.33;"47.9";"RV";88317
"DE";"Baden-Württemberg";"Aichtal";"9.26667";"48.6333";"ES";72631
"DE";"Baden-Württemberg";"Aichwald";"9.38333";"48.7667";"ES";73773
"DE";"Bayern";"Aidenbach";13.01.07;"48.5667";"PA";94501
"DE";"Bayern";"Aidhausen";01.10.33;"50.15";"HAS";97491
"DE";"Baden-Württemberg";"Aidlingen";"8.91667";"48.6667";"BB";71134
"DE";"Bayern";"Aiglsbach";01.11.67;"48.7";"KEH";84089
"DE";"Rheinland-Pfalz";"Ailertchen";"7.93333";"50.6";"WW";56459
"DE";"Bayern";"Aindling";01.10.95;"48.5167";"AIC";86447
"DE";"Bayern";"Ainring";01.12.95;"47.8167";"BGL";83404
"DE";"Bayern";"Aislingen";01.10.45;"48.5";"DLG";89344
"DE";"Bayern";"Aiterhofen";01.12.67;"48.85";"SR";94330
"DE";"Baden-Württemberg";"Aitern";07.09.07;"47.8";"LÖ";79677
"DE";"Baden-Württemberg";"Aitrach";01.10.33;"47.9333";"RV";88319
"DE";"Bayern";"Aitrang";01.10.33;"47.8167";"OAL";87648
"DE";"Sachsen-Anhalt";"Aken";12.05.07;"51.85";"KÖT";6385
"DE";"Bayern";"Albaching";01.12.67;"48.1167";"RO";83539
"DE";"Baden-Württemberg";"Albbruck";"8.13333";"47.6";"WT";79774
"DE";"Thüringen";"Albersdorf";01.11.67;"50.9";"SHK";7646
"DE";"Schleswig-Holstein";"Albersdorf";"9.28333";"54.15";"HEI";25767
"DE";"Baden-Württemberg";"Albershausen";"9.56667";"48.6833";"GP";73095
"DE";"Sachsen-Anhalt";"Albersroda";01.11.67;"51.2833";"MQ";6268
"DE";"Sachsen-Anhalt";"Alberstedt";01.11.33;"51.45";"MQ";6279
"DE";"Rheinland-Pfalz";"Albersweiler";08.03.07;"49.2192";"SÜW";76857
"DE";"Bayern";"Albertshofen";01.10.67;"49.7667";"KT";97320
"DE";"Rheinland-Pfalz";"Albessen";"7.33333";"49.5167";"KUS";66871
